"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,2491,689,18000,378,1 - OPS,924,162,12345,6749,6251,100.0,5747.0,{1->6226      |   2->5009      |   3->3745      |   4->1270},6874,{1->6200      |   2->4700      |   3->6100      |   4->2200},{1->0.0125624      |   2->0.016762848      |   3->0.012589055999999998      |   4->0.0020992},1.525180984,32559
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,9270,653,19000,1108,1 - OPS,4166,410,45122,5562,7438,100.0,22016.0,{1->6229      |   2->5019      |   3->3760      |   4->1242},6874,{1->15300      |   2->14100      |   3->19400      |   4->4700},{1->0.020994047999999998      |   2->0.041928704      |   3->0.044029952      |   4->0.018872319999999998},3.768205784,32515
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2398,3151,41000,221,1 - OPS,892,1248,57831,66961,63039,100.0,47085.0,{1->62607      |   2->49955      |   3->37473      |   4->12465},93971,{1->40000      |   2->32800      |   3->45100      |   4->12900},{1->0.13207136      |   2->0.14669611199999993      |   3->0.13411726399999999      |   4->0.054491104},3.312375088,324796
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,9500,5594,23000,1178,1 - OPS,4339,3372,246741,55392,74608,100.0,215421.0,{1->62566      |   2->49985      |   3->37398      |   4->12551},93971,{1->89700      |   2->104100      |   3->147100      |   4->36100},{1->0.3018586079999997      |   2->0.5682073920000008      |   3->0.4548482720000008      |   4->0.17822557599999977},7.11647904,324934
