"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,2262,633,20000,206,1 - OPS,867,175,10357,6749,6251,100.0,4574.0,{1->6258      |   2->4988      |   3->3762      |   4->1242},6874,{1->6100      |   2->6600      |   3->6600      |   4->1300},{1->0.012574704      |   2->-0.5617165359999999      |   3->0.012562792      |   4->2.048E-6},0.736324032,32488
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,9102,679,19000,1156,1 - OPS,4016,418,40786,5562,7438,100.0,19792.0,{1->6239      |   2->4979      |   3->3777      |   4->1255},6874,{1->14900      |   2->12400      |   3->20100      |   4->5200},{1->0.020971536      |   2->0.07127649600000001      |   3->0.06295352      |   4->0.012580864},3.083220592,32548
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2325,3520,36000,256,1 - OPS,826,1434,55988,66961,63039,100.0,44748.0,{1->62412      |   2->49972      |   3->37502      |   4->12614},93971,{1->46600      |   2->38000      |   3->44600      |   4->13500},{1->0.10484359200000001      |   2->0.16773731200000014      |   3->0.15930768      |   4->0.05028655999999999},4.729490552,325318
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,9420,3105,41000,1240,1 - OPS,4210,5862,279027,55392,74608,100.0,243672.0,{1->62396      |   2->50144      |   3->37414      |   4->12546},93971,{1->140000      |   2->166200      |   3->215500      |   4->57900},{1->-7.413740623999999      |   2->0.66268604      |   3->0.4822818320000004      |   4->0.20128148800000017},6.483864816,325110
