"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,2523,625,20000,320,1 - OPS,979,198,12452,6749,6251,100.0,6200.0,{1->5506      |   2->4421      |   3->3286      |   4->1087},6874,{1->6200      |   2->6500      |   3->5200      |   4->1500},{1->0.010473456      |   2->0.012572671999999998      |   3->0.006275055999999999      |   4->0.008361952},1.432327128,28554
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,12294,1094,11000,1749,1 - OPS,6188,460,53078,5562,7438,100.0,25102.0,{1->5483      |   2->4416      |   3->3308      |   4->1093},6874,{1->16100      |   2->14900      |   3->22800      |   4->5500},{1->0.03983974400000001      |   2->0.06917732800000001      |   3->0.048196288      |   4->0.016787471999999998},2.895771552,28611
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2405,3349,38000,265,1 - OPS,863,1323,66845,66961,63039,100.0,55714.0,{1->54983      |   2->44012      |   3->32947      |   4->11058},93971,{1->37900      |   2->32900      |   3->45400      |   4->12700},{1->0.123594592      |   2->0.13615332      |   3->0.10896168000000005      |   4->0.018855904},2.163053552,286080
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,9188,4982,26000,1161,1 - OPS,4042,3582,243471,55392,74608,100.0,212142.0,{1->54997      |   2->44024      |   3->33014      |   4->10965},93971,{1->94100      |   2->96900      |   3->149000      |   4->36800},{1->0.2515311359999995      |   2->0.5327017200000009      |   3->0.43597187200000076      |   4->0.13628414399999997},6.732447696,285947
