"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,2251,685,18000,300,1 - OPS,775,159,12403,6749,6251,100.0,6184.0,{1->6307      |   2->4967      |   3->3734      |   4->1242},6874,{1->5900      |   2->5500      |   3->5900      |   4->1600},{1->0.014632896000000001      |   2->0.014675984      |   3->0.008361951999999999      |   4->0.005214176},0.719712304,32411
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,9245,701,18000,1218,1 - OPS,4189,458,49649,5562,7438,100.0,27088.0,{1->6253      |   2->4994      |   3->3745      |   4->1258},6874,{1->15400      |   2->16300      |   3->21000      |   4->5600},{1->0.032471008      |   2->0.048162767999999995      |   3->0.064946112      |   4->0.022015984000000002},2.893071408,32508
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2424,3827,33000,287,1 - OPS,905,1140,59123,66961,63039,100.0,47400.0,{1->62490      |   2->50072      |   3->37453      |   4->12485},93971,{1->36700      |   2->34100      |   3->44600      |   4->11800},{1->0.1339736320000001      |   2->0.17482595199999992      |   3->0.11921985600000008      |   4->0.053300991999999985},2.726696408,324933
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,9198,3893,33000,1197,1 - OPS,4313,4011,254249,55392,74608,100.0,221998.0,{1->62507      |   2->50047      |   3->37499      |   4->12447},93971,{1->122600      |   2->119000      |   3->176000      |   4->40400},{1->0.29979872799999946      |   2->0.5270638639999986      |   3->0.4851208239999992      |   4->0.18824504799999994},3.063453416,324886
