"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,2404,712,18000,271,1 - OPS,898,163,11336,6749,6251,100.0,5141.0,{1->5491      |   2->4411      |   3->3313      |   4->1085},6874,{1->5000      |   2->4800      |   3->5600      |   4->1100},{1->0.0      |   2->0.033538424      |   3->0.025114575999999996      |   4->0.004196352},0.730690664,28592
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,11245,1124,11000,1437,1 - OPS,5772,518,54033,5562,7438,100.0,27279.0,{1->5493      |   2->4402      |   3->3292      |   4->1113},6874,{1->17400      |   2->16900      |   3->25500      |   4->9000},{1->0.037750784      |   2->0.04193484799999999      |   3->0.046135296      |   4->0.020985872000000003},2.96346448,28625
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2413,3255,39000,231,1 - OPS,953,1682,66555,66961,63039,100.0,54225.0,{1->54954      |   2->44017      |   3->33010      |   4->11019},93971,{1->45400      |   2->42300      |   3->52700      |   4->14300},{1->0.083806112      |   2->0.17610822400000015      |   3->0.100589472      |   4->0.041924592},5.033179048,286094
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,9019,3215,40000,1063,1 - OPS,4079,4593,237520,55392,74608,100.0,206054.0,{1->55020      |   2->43975      |   3->32974      |   4->11031},93971,{1->106900      |   2->141000      |   3->157100      |   4->37000},{1->0.2725395680000001      |   2->0.5074842240000004      |   3->0.39000257600000043      |   4->-1.1246514160000005},5.39027496,286016
