"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,2506,692,18000,257,1 - OPS,1004,145,11231,6749,6251,100.0,4825.0,{1->7500      |   2->6032      |   3->4467      |   4->1501},6874,{1->6600      |   2->5200      |   3->5300      |   4->2100},{1->0.016779264      |   2->0.016777232      |   3->0.020942816      |   4->4.096E-6},0.751892344,38969
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,9507,712,18000,1094,1 - OPS,3930,411,43076,5562,7438,100.0,21285.0,{1->7509      |   2->5987      |   3->4500      |   4->1504},6874,{1->13100      |   2->15500      |   3->24800      |   4->5000},{1->0.029351936      |   2->0.09225008000000001      |   3->-0.5039824560000002      |   4->0.02935808},3.067542672,38999
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2860,3641,35000,332,1 - OPS,1178,1585,68670,66961,63039,100.0,55996.0,{1->74966      |   2->60003      |   3->45005      |   4->15026},93971,{1->50000      |   2->49200      |   3->53800      |   4->14200},{1->0.13833820800000002      |   2->0.16770244800000006      |   3->0.14680881600000006      |   4->0.07122936},5.502009808,390091
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,10120,3422,37000,1266,1 - OPS,4543,6743,291709,55392,74608,100.0,252533.0,{1->75020      |   2->59937      |   3->44948      |   4->15095},93971,{1->141700      |   2->206400      |   3->239000      |   4->59400},{1->0.3145604480000002      |   2->0.696127408      |   3->0.5871574240000004      |   4->0.22643704000000014},6.198495896,390118
