"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,2450,789,16000,334,1 - OPS,1017,138,12105,6749,6251,100.0,5477.0,{1->7507      |   2->5996      |   3->4515      |   4->1482},6874,{1->7300      |   2->5500      |   3->8800      |   4->1900},{1->0.01047344      |   2->0.026204144000000006      |   3->0.016740304      |   4->0.007313376},1.60392512,38972
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,9684,977,13000,1188,1 - OPS,4444,390,45804,5562,7438,100.0,21451.0,{1->7545      |   2->6011      |   3->4464      |   4->1480},6874,{1->15400      |   2->20400      |   3->22100      |   4->5100},{1->0.045004752      |   2->-0.12295376000000004      |   3->0.05864644799999999      |   4->0.018876448},2.87362828,38879
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2621,4552,28000,283,1 - OPS,1085,1264,63033,66961,63039,100.0,50273.0,{1->75108      |   2->59918      |   3->44998      |   4->14976},93971,{1->46700      |   2->38600      |   3->48200      |   4->13800},{1->0.16026188800000005      |   2->0.19264071999999988      |   3->0.16654565599999993      |   4->0.05239598399999999},1.92300388,389842
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,9781,4718,27000,1342,1 - OPS,4368,3757,241636,55392,74608,100.0,209166.0,{1->75040      |   2->60066      |   3->44935      |   4->14959},93971,{1->118400      |   2->131900      |   3->186500      |   4->42800},{1->0.3931973279999992      |   2->-1.8406349519999972      |   3->0.5272410719999996      |   4->0.2242194799999997},3.094224856,389813
