"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,cold,539289,13000,2369,737,17000,211,1 - OPS,976,180,11551,6749,6251,100.0,5334.0,{1->5000      |   2->4000      |   3->3000      |   4->1000},6874,{1->5800      |   2->4300      |   3->4900      |   4->900},{1->0.0      |   2->0.008388608      |   3->0.008388608      |   4->0.004196352},0.716414608,26000
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,cold,2141798,13000,10010,686,18000,1469,1 - OPS,4471,434,43132,5562,7438,100.0,21277.0,{1->5000      |   2->4000      |   3->3000      |   4->1000},6874,{1->12300      |   2->12000      |   3->14600      |   4->2700},{1->0.016787456000000003      |   2->0.04612505599999999      |   3->0.054515712      |   4->0.012570608},2.835650048,26000
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,cold,539289,130000,2391,3328,39000,278,1 - OPS,841,1462,62140,66961,63039,100.0,50696.0,{1->50000      |   2->40000      |   3->30000      |   4->10000},93971,{1->37400      |   2->35500      |   3->39000      |   4->11700},{1->0.07546672000000003      |   2->0.12155075200000003      |   3->0.10478174400000001      |   4->0.029339632000000004},2.520917544,260000
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,cold,2141798,130000,9484,3322,39000,1269,1 - OPS,4138,5271,255535,55392,74608,100.0,222817.0,{1->50000      |   2->40000      |   3->30000      |   4->10000},93971,{1->133500      |   2->147100      |   3->170100      |   4->40800},{1->0.3102476720000002      |   2->0.5661388480000001      |   3->-5.086593776000008      |   4->0.12999064000000002},8.977542216,260000
