"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,3005,1031,12000,279,1 - OPS,1301,136,12638,6749,6251,100.0,5333.0,{1->7547      |   2->5965      |   3->4491      |   4->1497},6874,{1->6700      |   2->7100      |   3->7000      |   4->2000},{1->0.018870272000000004      |   2->0.023054304      |   3->0.010481664      |   4->0.006291456},1.536936248,38938
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,9426,695,18000,1163,1 - OPS,4187,435,44499,5562,7438,100.0,21651.0,{1->7475      |   2->5977      |   3->4551      |   4->1497},6874,{1->13500      |   2->19100      |   3->21000      |   4->7100},{1->0.025169952      |   2->-0.9767812160000003      |   3->0.067080552      |   4->0.020973584},4.457304064,39070
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2535,3176,40000,260,1 - OPS,960,1239,58956,66961,63039,100.0,48166.0,{1->75073      |   2->59878      |   3->45143      |   4->14906},93971,{1->42600      |   2->40100      |   3->45300      |   4->10300},{1->0.17394875199999985      |   2->0.20750365599999973      |   3->0.1755645039999999      |   4->0.06494031199999999},2.742553344,389882
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,9619,5809,22000,1167,1 - OPS,4227,3817,233903,55392,74608,100.0,200493.0,{1->74889      |   2->60101      |   3->45074      |   4->14936},93971,{1->138000      |   2->134600      |   3->189700      |   4->46100},{1->0.3292282239999999      |   2->0.4264538000000003      |   3->0.5491938640000009      |   4->0.1845227359999998},3.763277696,390057
