"Data file name", "query file name", "warm","RDF triplets number", "query number","Data reading time(ms)","Query reading time(ms)" ,"Nb requete treated/S ","Dictionary construction time(ms)", "Index number","Index creation time","Workload evaluation time (ms)","Total time(ms)","Nb no response request","Nb response","% response equal to Jena","Jena process time(ms)","NB Queries Same Patterns","NB doublons requete","time/NB pattern","Ram used/Pattern","Ram utilisé GO","NB total patterns"
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : part3_queries,warm,539289,13000,2745,846,15000,335,1 - OPS,1022,224,14505,6749,6251,100.0,7593.0,{1->5494      |   2->4399      |   3->3307      |   4->1100},6874,{1->8700      |   2->4800      |   3->7500      |   4->2200},{1->0.011483071999999997      |   2->0.018837472      |   3->0.015677392      |   4->0.003129328},1.855177072,28613
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : part3_queries,warm,2141798,13000,11260,683,19000,1628,1 - OPS,5089,399,48369,5562,7438,100.0,22306.0,{1->5501      |   2->4401      |   3->3307      |   4->1091},6874,{1->11600      |   2->11600      |   3->17500      |   4->5300},{1->0.029370384      |   2->0.048203743999999986      |   3->0.04290347200000001      |   4->0.009404384},2.710423296,28588
C:\Users\Yanis Bouallouche\Documents\data_500K.nt,folder : queries_130K,warm,539289,130000,2592,3598,36000,315,1 - OPS,1036,1139,52674,66961,63039,100.0,41603.0,{1->54938      |   2->44044      |   3->33056      |   4->10962},93971,{1->33000      |   2->30700      |   3->37500      |   4->9800},{1->0.11509116800000005      |   2->0.1548878      |   3->0.155996592      |   4->0.050243456},2.886269744,286042
C:\Users\Yanis Bouallouche\Documents\data_2M.nt,folder : queries_130K,warm,2141798,130000,9337,3547,36000,1125,1 - OPS,4464,3949,246819,55392,74608,100.0,216271.0,{1->55037      |   2->44022      |   3->32946      |   4->10995},93971,{1->120500      |   2->108800      |   3->164400      |   4->33300},{1->-0.940560735999997      |   2->0.5826931120000001      |   3->-0.5887192159999921      |   4->0.14243430400000012},2.659065728,285899
